* 62 * * * * 67 68 * 70 * * * * * * * * * * * * 3 4 * 6 * 8 * * 11 * * * * 16 * 18 * * 21 22 * 24 25 * * * * * 31 * * * * * * 38 39 * * * 43 * * * * * * 50 * * 53 * * * * * * 60 
57 * * * 61 * * 64 * * * * 69 * 71 * 73 * * 76 * * * * * 2 3 4 5 * * 8 9 * 11 * 13 14 15 * * * * * * 22 * 24 * 26 * 28 * * * * * 34 35 36 * * 39 * 41 42 43 * 45 46 47 * 49 * 51 52 * * 55 56 
48 * 50 * * * 54 55 56 57 * * 60 61 * * 64 * 66 * 68 * * * 72 * 74 75 76 * 78 79 80 * * 3 4 * 6 * * * * * 12 13 14 15 * * * 19 * 21 * * * * 26 * * * 30 * 32 * * * 36 37 38 39 * 41 * 43 44 45 46 * 
45 * * * * 50 * * * 54 * * 57 * * 60 61 * 63 * * * * * * 70 * * * * * * 77 78 79 * 1 2 * * * 6 7 * 9 * * * * 14 15 * 17 * * * * * 23 24 * * * 28 * 30 31 * 33 34 * * 37 * 39 * * * * 44 
7 * * 10 11 12 * 14 * * * * * * * 22 * 24 * 26 * * 29 * 31 32 * * * * 37 * * * 41 42 43 * 45 * * * 49 * 51 52 * * 55 56 * * * 60 * * * * * * * 68 * * * * * 74 * 76 * * 79 * 1 2 * * * 6 
* * * * 13 * * * * * * * * * * 24 * 26 * * * * * 32 33 34 * 36 * * 39 * * * * * * * 47 * 49 * * 52 * * * 56 * 58 * * 61 62 * * * * * * 69 * 71 * * * 75 * * 78 * 80 1 2 3 4 * * 7 * 
23 24 25 * 27 * 29 * * * * * * * * 38 * 40 * 42 * * 45 46 * 48 * 50 * * * * * 56 57 * * * 61 * * * 65 * * 68 69 * * 72 * 74 * * 77 * * 80 * 2 * 4 * 6 7 * * * * * * 14 15 16 17 * 19 * * 22 
67 * 69 70 * * * 74 * 76 * 78 * * * 2 * * * * 7 * 9 * * * * * * 16 * * * * 21 22 * * * 26 * * * * 31 * 33 34 * * 37 38 * * * * 43 44 45 * 47 48 49 * 51 * * 54 * * 57 58 * * * 62 * * * 66 
* 57 * * * * * 63 * * * * * * * 71 72 * 74 * * 77 * * * * * * * * 6 7 * * * 11 * * * * * 17 * 19 * * 22 * * * * 27 28 29 * * 32 * * * * 37 38 39 * * * * 44 * * * * 49 * 51 * * * * 
43 * * * 47 48 49 * * * 53 * * 56 * * * * * * 63 64 65 * 67 68 * 70 71 * * * 75 76 * * * 80 1 2 * 4 * * * * * * * * * 14 15 * * 18 * 20 * * 23 * * * * * * * * * 33 * * * * * 39 * 41 * 
* 26 27 * * * 31 * 33 * * 36 * 38 39 40 41 * * * * * 47 * 49 * 51 * 53 54 * 56 57 58 * * * 62 * 64 * 66 67 68 * 70 * 72 * 74 75 76 77 * * * * 2 * * * * * 8 * * * * 13 * 15 16 17 * 19 * 21 22 * 24 
* 71 * * 74 75 * * * 79 80 * * 3 * * 6 * * 9 10 * 12 * 14 * 16 * 18 19 * * * 23 * * 26 27 * 29 * 31 * * 34 * * * * 39 * * * * * * 46 47 48 * * 51 52 53 * 55 * 57 * * 60 * * 63 * 65 66 * * * 
36 37 * * 40 41 * * * * 46 47 * * * * 52 * * 55 56 * * * * * * 63 64 * * * 68 69 70 71 * * * * * * * 79 80 * * * 4 * * * * 9 * * * 13 * * * 17 18 * * * 22 * 24 25 * * 28 * * 31 32 * 34 * 
* * * * * * 59 * 61 62 63 * * * 67 * 69 * * 72 * * * 76 77 78 79 * * * * * * 6 * * * 10 * 12 * * * 16 * * * * 21 * * * 25 * * * * * * * * 34 35 36 * 38 * * 41 * * 44 * * * * * 50 * * 
30 * * * * * * 37 * * * * 42 * 44 45 * 47 * * * 51 * 53 54 * * * * 59 * 61 * 63 64 * 66 * * 69 * 71 * * 74 75 76 * * 79 * * 2 * * 5 * * 8 * * * 12 * * * 16 17 18 19 * * * * * * * 27 * * 
2 3 * * * * 8 * * 11 * * 14 15 * 17 18 * * 21 * 23 * * * * * * * 31 * 33 * * * 37 * 39 * * 42 * * * 46 47 * 49 50 * 52 53 * 55 56 57 * 59 * * * 63 64 * * 67 68 69 * * * 73 74 75 * * 78 79 * * 
* 16 17 18 * * * 22 * * 25 * * * * * 31 * 33 34 35 * 37 38 * * 41 * 43 * * * * * 49 50 51 52 * * 55 56 * * 59 * * 62 * 64 * 66 * 68 * * 71 72 * * * * * * 79 80 * 2 * 4 * * * 8 * 10 * 12 13 * 
* * 61 62 63 64 65 * 67 * 69 * * * * 74 75 * 77 78 * 80 1 * 3 * * * * * 9 * * * 13 14 * * * * 19 20 * 22 23 24 * * * * * 30 * * * * * * * * * * * 42 * * * 46 * 48 * * * * 53 * * * * * 
* * 5 * * 8 * * 11 12 13 * 15 * * 18 19 * * 22 * 24 * 26 * 28 29 30 31 * 33 * * 36 * * * 40 * * * * * 46 * 48 49 * * * 53 54 55 * * * 59 * * * * * 65 * * * * * 71 * * * * * * * * 80 1 2 
* 53 * * * * * * * 61 * * 64 * * * * * * * * 73 * * 76 77 78 * * * * 3 4 * * 7 8 9 * 11 * * * * 16 * * * * * * * 24 25 * 27 * * * * * * * * 36 37 * * * * * 43 * 45 * * 48 49 * * 
* 69 * * * * 74 75 * 77 78 79 * * * * * * * * * * * * * 13 14 15 16 * 18 19 * * * * * * * 27 * * * * 32 33 34 * 36 * 38 39 40 * * * * 45 46 47 * * 50 * 52 53 54 * 56 57 * * 60 * * * 64 * 66 67 
76 * * * * * * 3 * 5 6 * * 9 * * * * 14 * 16 * 18 19 * * * * * * * * 28 * * * * * 34 35 * * * 39 40 41 42 43 * * 46 * 48 * * * 52 53 * * * * 58 * * * 62 63 64 * 66 67 * 69 70 * 72 73 74 75 
* * * * 37 * * * * * 43 * * 46 47 48 * * * * * * 55 * 57 * * 60 * 62 * * * 66 * 68 * * * * * * 75 * * * * * * * 3 * * 6 7 * * 10 11 12 * * 15 * * * * * * * 23 24 * * * * * * * * 
* * 33 * * * * * * 40 * 42 * * * * * 48 * 50 * 52 * * 55 56 * * 59 60 * * 63 * 65 * * * 69 * 71 72 73 * * 76 * 78 79 * * 2 3 4 5 * 7 * * 10 * 12 13 14 * * 17 * * * * * * * 25 * 27 * * * 
* * * * 51 * * * * * 57 58 * * 61 * 63 * * * * * * * 71 * * 74 * 76 77 * 79 * * 2 3 4 5 * * * 9 * * * 13 * * * * * * * 21 22 * * * * * * 29 * * * 33 34 35 * * 38 39 40 * 42 43 * * 46 
4 5 6 7 * * 10 * 12 13 14 15 16 * * * 20 21 22 23 24 * 26 27 * * 30 31 * * 34 35 * * * * 40 * 42 43 * * * * 48 49 50 51 52 * * 55 * 57 * * * 61 * * * * * 67 68 * * * * * * * * * 78 79 80 * 2 3 
66 67 * * * * * * 74 * * * * 79 * 1 2 3 4 5 * 7 * 9 * * * * 14 15 * * * * 20 21 22 * * 25 * 27 * 29 30 * * * * * * * * * 40 * 42 43 * * * * * * 50 * * 53 54 * 56 * * * 60 * 62 * * 65 
78 * * * * * 4 * 6 7 * * 10 * * * 14 15 * * 18 * * * * * * * * * * 29 * 31 * * 34 * 36 37 38 * * 41 * * 44 45 46 47 48 * 50 51 52 53 54 * 56 57 58 59 * * * 63 * * * * 68 * 70 71 72 * 74 * * 77 
* * 60 * * 63 * 65 66 * 68 * 70 * * * * 75 * 77 * 79 * 1 * 3 * * * * * * * * * 13 14 * 16 * * * 20 21 22 * 24 * * 27 * * * * 32 33 * 35 * * * * * * * * * * 46 * 48 * 50 51 * * 54 * 56 57 
* * 26 * * * * 31 * * 34 35 * * 38 * * * * * * * * * * * * 51 * * * 55 56 * 58 59 * * * * * * 66 * * 69 70 71 * * 74 * * 77 78 * 80 1 * * * * 6 7 8 * * 11 * 13 * * 16 * * * * * 22 23 
* * * * 33 * * 36 * * 39 * 41 42 * * 45 46 * * * * * * * 54 55 56 * * * * 61 62 * * 65 * * 68 * * 71 72 * 74 * * * * 79 80 1 * 3 * * 6 * 8 * * 11 12 13 * * * 17 * 19 * * * 23 * * * * 28 
69 * 71 72 * * 75 76 * 78 * 80 * 2 * * * 6 * * 9 10 * * * * * 16 17 * 19 * 21 * * * 25 * * 28 * 30 31 * * 34 * * * 38 * 40 41 42 43 * 45 * * * 49 50 * 52 53 * * * 57 58 59 * * * 63 * 65 66 67 * 
* 27 28 * 30 * 32 * * 35 * 37 38 39 * * 42 43 * 45 46 47 48 * * * * * * * * * 58 * * * 62 * * * * * * 69 70 71 * 73 * * * * * * * * * * 4 * * 7 * 9 * * 12 * 14 15 * * * 19 * * 22 * * 25 
* 28 29 * * 32 * 34 * * * * 39 * * * * 44 45 * * 48 49 * * * 53 54 * * * * * * * * 63 64 * 66 * 68 69 * 71 72 * * * * * * * * * * * * 5 * * * 9 * * * 13 * * * 17 18 * * * 22 23 * 25 * 
* * 75 76 77 * * 80 * 2 3 * * * 7 * * * * 12 * * 15 * * * * * * * 23 24 25 * * 28 * * * * * 34 * * * * * 40 * * * * * * * * * * 51 * * * * * 57 58 59 * * 62 63 * * * * 68 * * * 72 
* * * * * * 11 12 * * 15 * * 18 * 20 21 22 * * 25 26 * 28 29 30 31 32 33 * * * * 38 * 40 * 42 * 44 * * * 48 49 * * 52 * 54 55 56 * * * 60 61 * 63 * * 66 * * * * * * 73 * 75 * * 78 * * 1 * 3 * 
64 65 * * 68 69 * 71 72 73 74 75 76 * * * * * * 3 * * * * * 9 * * * 13 14 15 16 17 * * * 21 22 23 * * * 27 * 29 * * 32 * 34 * 36 37 * * * * * * 44 * * * * 49 * * 52 53 54 * * 57 * * * 61 * * 
* * 79 * 1 * 3 * * * * * * * * * 13 * * 16 * 18 * * * * * * * 26 * * * * * * * * 35 36 37 * 39 40 * * 43 44 * 46 47 48 * * * * * * 55 * 57 58 59 * 61 * 63 64 * * * * * 70 71 * 73 74 75 * 
* 36 * * * * * 42 * * 45 46 47 * * 50 * * 53 54 * 56 * 58 * 60 61 * * * * * 67 68 * * 71 * * * * * * * * * 1 * 3 4 5 * * * * 10 * * * * 15 * * * * 20 * 22 23 * * 26 * * 29 30 31 32 33 * 
